,composer,song_name,year,era
358,Liszt,liszt_etude_12_exercices_2_(c)yogore.mid,1826,Romantic 
359,Liszt,liszt_etude_12_exercices_1_(c)yogore.mid,1826,Romantic 
360,Liszt,liszt_etude_12_exercices_10_(c)yogore.mid,1826,Romantic 
361,Liszt,liszt_etude_12_exercices_7_(c)yogore.mid,1826,Romantic 
362,Liszt,liszt_etude_12_exercices_9_(c)yogore.mid,1826,Romantic 
363,Liszt,liszt_etude_12_exercices_3_(c)yogore.mid,1826,Romantic 
364,Schubert,sonata_894_1_(c)bucknall.mid,1826,Romantic
365,Schubert,sonata_894_2_(c)bucknall.mid,1826,Romantic
366,Liszt,liszt_etude_12_exercices_11_(c)yogore.mid,1826,Romantic 
367,Schubert,sonata_894_3_(c)bucknall.mid,1826,Romantic
368,Liszt,liszt_etude_12_exercices_6_(c)yogore.mid,1826,Romantic 
369,Liszt,liszt_etude_12_exercices_8_(c)yogore.mid,1826,Romantic 
370,Schubert,sonata_894_4_(c)bucknall.mid,1826,Romantic
371,Schubert,schubert_4Impromptus_D.899_Op.90_No.1.mid,1827,Romantic
372,Schubert,schubert_4Impromptus_D.899_Op.90_No.2.mid,1827,Romantic
373,Schubert,schubert_4Impromptus_D.899_Op.90_No.4.mid,1827,Romantic
374,Schubert,schubert_4Impromptus_D.899_Op.90_No.3.mid,1827,Romantic
375,Schubert,schubert_piano_sonata_Bb_major_D.960_1st_movement 2.mid,1828,Romantic
376,Schubert,schubert_piano_sonata_C_minor_D.958_1st_Allegro 2.mid,1828,Romantic
377,Schubert,schubert_piano_sonata_C_minor_D.958_4th_Allegro 2.mid,1828,Romantic
378,Schubert,schubert_piano_sonata_Bb_major_D.960_3rd_movement 2.mid,1828,Romantic
379,Schumann,toccata_7_(c)siu.mid,1829,Romantic
380,Schumann,schumann_papillon_Op.2_No.7-12.mid,1829,Romantic
